attribute_label_en,attribute_id,attribute_label_es,attribute_context_class_id,attribute_context_class_code,attribute_attr_class_id,attribute_attr_class_code,attribute_title_en,attribute_title_es,attribute_formula,attribute_explanation_en,attribute_explanation_es,attribute_reference
Agent-Based Model Analysis,2001,Analisis de modelos basados en agentes,5001,MMSS,4001,Metodo,Agent-Based Model Analysis,Análisis de modelos basados en agentes,,,,
Archival Analysis,2002,Analisis de Archivo,5001,MMSS,4001,Metodo,Archival Analysis,Análisis de Archivo,,,,
Bibliometrics and Scientometrics,2003,Bibliometria y cienciometria,5001,MMSS,4001,Metodo,Bibliometrics and Scientometrics,Bibliometría y cienciometría,,,,
Bioinformatics Tools,2004,Herramientas bioinformaticas,5001,MMSS,4001,Metodo,Bioinformatics Tools,Herramientas bioinformáticas,,,,
Cluster Analysis,2005,Analisis de Conglomerados,5001,MMSS,4001,Metodo,"Cluster Analysis, k-Means Clustering","Análisis de Conglomerados, Clusterización con k-medias",,,,
Computational Qualitative Analysis,2006,Analisis Cualitativo Computacional,5001,MMSS,4001,Metodo,Computational Qualitative Analysis,Análisis Cualitativo Computacional,,,,
Correspondence Analysis,2007,Analisis de Correspondencia,5001,MMSS,4001,Metodo,Correspondence Analysis,Análisis de Correspondencia,,,,
Digital Source Mining,2008,Mineria de Fuentes Digitales,5001,MMSS,4001,Metodo,Digital Source Mining,Minería de Fuentes Digitales,,,,
Direct Observation of Behavior,2009,Observacion directa,5001,MMSS,4001,Metodo,Direct Observation of Behavior,Observación directa del comportamiento,,,,
Document Analysis,2010,Analisis documental,5001,MMSS,4001,Metodo,Document Analysis,Análisis Documental,,,,
Ethnography,2011,Etnografia,5001,MMSS,4001,Metodo,Ethnography,Etnografía,,,,
Formal Concept Analysis,2012,Analisis de conceptos formales,5001,MMSS,4001,Metodo,Formal Concept Analysis,Análisis de Conceptos Formales,,,,
Genetic Analysis,2013,Analisis genetico,5001,MMSS,4001,Metodo,Genetic Analysis,Análisis Genético,,,,
Inductive Game Theory,2014,Teoria de juegos inductiva,5001,MMSS,4001,Metodo,Inductive Game Theory,Teoría de juegos inductiva,,,,
Interviews,2015,Entrevistas,5001,MMSS,4001,Metodo,Interviews,Entrevistas,,,,
Linear Regression,2016,Regresiones lineales,5001,MMSS,4001,Metodo,"Linear and Logistic Regression, Event Analysis","Regresiones lineales, logísticas y análisis de eventos",,,,
Literature Review,2017,Revision bibliografica,5001,MMSS,4001,Metodo,Literature Review,Revisión Bibliográfica,,,,
Machine Learning,2018,Aprendizaje de maquina,5001,MMSS,4001,Metodo,Machine Learning and Fundamental Analysis,Aprendizaje de máquina y análisis fundamental,,,,
Multiplex Network Analysis,2019,Analisis multiplex,5001,MMSS,4001,Metodo,"Monoplex, Multiplex, or Multilayer Network Analysis","Análisis Monoplex,  multiplex o multicapa",,,,
Network Visualization,2020,Visualizacion de redes,5001,MMSS,4001,Metodo,Network Analysis and Visualization,Análisis y Visualización de redes,,,,
Pattern Recognition,2021,Reconocimiento de patrones,5001,MMSS,4001,Metodo,Pattern Recognition for Distant Reading,Reconocimiento de patrones para lectura distante,,,,
Reconstruction of Genealogies and Trajectories,2022,Reconstrucccion de genealogias y trayectorias,5001,MMSS,4001,Metodo,Reconstruction of Genealogies and Trajectories,Reconstruccción de genealogías y trayectorias,,,,
Sentiment Analysis,2023,Analisis de sentimientos,5001,MMSS,4001,Metodo,Sentiment Analysis,Análisis de sentimientos,,,,
Software Engineering,2024,Ingenieria de software,5001,MMSS,4001,Metodo,Software Engineering,Ingeniería de Software,,,,
Social Networks Analysis,2025,Analisis de redes sociales,5001,MMSS,4001,Metodo,Study and Analysis of Social Networks,Estudio y Análisis de redes sociales,,,,
Surveys,2026,Encuestas,5001,MMSS,4001,Metodo,Surveys,Encuestas,,,,
Technical Analysis,2027,Analisis Tecnico,5001,MMSS,4001,Metodo,Technical Analysis,Análisis Técnico,,,,
Topic Modeling Analysis,2028,Analisis de Modelos tematicos,5001,MMSS,4001,Metodo,Topic Modeling Analysis,Análisis de Modelos temáticos,,,,
Academic networks,2029,Redes academicas,5001,MMSS,4002,Linea,Academic networks,Redes académicas,,,,
CT indicators,2030,Indicadores de CyT,5001,MMSS,4004,Tema,CT indicators,Indicadores de CyT,,,,
Enviromental and climate change,2031,Cambio ambiental y climatico,5001,MMSS,4004,Tema,Enviromental and Climate change,Cambio ambiental y climático,,,,
Collective processing of information,2032,Procesamiento colectivo de informacion,5001,MMSS,4004,Tema,Collective processing of information,Procesamiento colectivo de información,,,,
Complex social systems,2033,Sistemas Sociales Complejos y Dinamicas Sociales,5001,MMSS,4004,Tema,Complex social systems,Sistemas Sociales Complejos y Dinámicas Sociales,,,,
Computational analysis,2034,Analisis Computacional,5001,MMSS,4001,Metodo,Computational analysis,Análisis Computacional,,,,
Computational thinking,2035,Pensamiento Computacional,5001,MMSS,4004,Tema,Computational Thinking,Pensamiento Computacional,,,,
Gender studies,2036,Estudios de Genero,5001,MMSS,4004,Tema,Gender studies,Estudios de Género,,,,
Genealogy of Academic Entities,2037,Genealogia de las entidades y los espacios academicos,5001,MMSS,4004,Tema,Genealogy of Academic Entities and Spaces, Genealogía de las entidades y los espacios académicos,,,,
General theory of social systems,2038,Teoria general de Sistemas Sociales,5001,MMSS,4004,Tema,General theory of social systems,Teoría general de Sistemas Sociales,,,,
Geographies of science,2039,Geografias de la ciencia,5001,MMSS,4004,Tema,Geographies of Science,Geografías de la ciencia,,,,
