attribute_id|context_id
2088|3004
2087|3004
2086|3004
2083|3004
2084|3004
2085|3004
2089|3004
2001|3005
2002|3005
2003|3005
2004|3005
2005|3005
2006|3005
2007|3005
2008|3005
2009|3005
2010|3005
2011|3005
2012|3005
2013|3005
2014|3005
2015|3005
2016|3005
2017|3005
2018|3005
2019|3005
2020|3005
2021|3005
2022|3005
2023|3005
2024|3005
2025|3005
2026|3005
2027|3005
2028|3005
2029|3005
2030|3005
2031|3005
2032|3005
2033|3005
2035|3005
2036|3005
2037|3005
2038|3005
2039|3005
2040|3005
2041|3005
2042|3005
2043|3005
2045|3005
2046|3005
2047|3005
2048|3005
2049|3005
2050|3005
2051|3005
2052|3005
2053|3005
2054|3005
2055|3005
2056|3005
2057|3005
2058|3005
2059|3005
2060|3005
2061|3005
2062|3005
2063|3005
2064|3005
2065|3005
2066|3005
2067|3005
2068|3005
2069|3005
2070|3005
2071|3005
2072|3005
2073|3005
2074|3005
2075|3005
2076|3005
2077|3005
2078|3005
2079|3005
2080|3005
2081|3005
2082|3005
2090|3005
2091|3005
2001|3002
2002|3002
2003|3002
2004|3002
2005|3002
2006|3002
2007|3002
2008|3002
2009|3002
2010|3002
2011|3002
2012|3002
2013|3002
2014|3002
2015|3002
2016|3002
2017|3002
2018|3002
2019|3002
2020|3002
2021|3002
2022|3002
2023|3002
2024|3002
2025|3002
2026|3002
2027|3002
2028|3002
2061|3003
2062|3003
2063|3003
2064|3003
2065|3003
2066|3003
2067|3003
2068|3003
2069|3003
2070|3003
2071|3003
2072|3003
2073|3003
2074|3003
2075|3003
2076|3003
2077|3003
2078|3003
2080|3003
2081|3003
2082|3003
2091|3003
2029|3001
2030|3001
2031|3001
2032|3001
2033|3001
2035|3001
2036|3001
2038|3001
2039|3001
2040|3001
2041|3001
2042|3001
2043|3001
2045|3001
2046|3001
2047|3001
2048|3001
2049|3001
2050|3001
2051|3001
2052|3001
2053|3001
2054|3001
2055|3001
2056|3001
2057|3001
2058|3001
2059|3001
2060|3001
2090|3001
2037|3001
