Attribute|Class|Title|Formula|Explanation|Reference
Social studies of CTS|Campo|Social studies of CTS|||
Socio History|Campo|Socio-history|||
Academic networks|Linea|Academic networks|||
Mathematical modeling|Linea|Mathematical modeling and knowledge representation|||
Social complexity|Linea|Social Complexity|||
Socio-history of quantification|Linea|Socio-history of quantification|||
University s sociocultural history|Linea|University’s sociocultural history|||
Agent-Based Model Analysis|Metodo|Agent-Based Model Analysis|||
Archival Analysis|Metodo|Archival Analysis|||
Bibliometrics and Scientometrics|Metodo|Bibliometrics and Scientometrics|||
Bioinformatics Tools|Metodo|Bioinformatics Tools|||
Cluster Analysis|Metodo|Cluster Analysis, k-Means Clustering|||
Computational Qualitative Analysis|Metodo|Computational Qualitative Analysis|||
Correspondence Analysis|Metodo|Correspondence Analysis|||
Digital Source Mining|Metodo|Digital Source Mining|||
Direct Observation of Behavior|Metodo|Direct Observation of Behavior|||
Document Analysis|Metodo|Document Analysis|||
Ethnography|Metodo|Ethnography|||
Formal Concept Analysis|Metodo|Formal Concept Analysis|||
Genetic Analysis|Metodo|Genetic Analysis|||
Inductive Game Theory|Metodo|Inductive Game Theory|||
Interviews|Metodo|Interviews|||
Linear Regression|Metodo|Linear and Logistic Regression, Event Analysis|||
Literature Review|Metodo|Literature Review|||
Machine Learning|Metodo|Machine Learning and Fundamental Analysis|||
Multiplex Network Analysis|Metodo|Monoplex, Multiplex, or Multilayer Network Analysis|||
Network Visualization|Metodo|Network Analysis and Visualization|||
Pattern Recognition|Metodo|Pattern Recognition for Distant Reading|||
Reconstruction of Genealogies and Trajectories|Metodo|Reconstruction of Genealogies and Trajectories|||
Sentiment Analysis|Metodo|Sentiment Analysis|||
Social Networks Analysis|Metodo|Study and Analysis of Social Networks|||
Software Engineering|Metodo|Software Engineering|||
Surveys|Metodo|Surveys|||
Technical Analysis|Metodo|Technical Analysis|||
Topic Modeling Analysis|Metodo|Topic Modeling Analysis|||
Academic entities|Objeto|Academic Entities, Spaces, and Networks|||
Agri-food networks|Objeto|Agri-food Networks|||
Artificial intelligence|Objeto|Artificial Intelligence|||
Cetaceans|Objeto|Cetaceans|||
Climate Change|Objeto|Climate Change|||
Collective Tasks|Objeto|Groups of People Working on Collective Tasks|||
COVID 19|Objeto|COVID-19|||
Digital News|Objeto|Digital News and Journalism|||
Digital Technologies|Objeto|Digital Technologies|||
Economic System|Objeto|Economic System and Financial Markets|||
Human Vocal Interactions|Objeto|Human Vocal Interactions|||
Information Sources|Objeto|Comparison of Documents and Information Sources|||
Nanotechnology|Objeto|Nanotechnology|||
Physical Theories|Objeto|Astronomy, Cosmology, and Gravitation Theories|||
Social Measurement|Objeto|Categories and Classifications of Social Measurement|||
Socio-ecosystems in Yucatan|Objeto|Socio-ecosystems in Yucatan|||
Socio-scientific Systems|Objeto|Socio-technical and Socio-scientific Systems|||
Spider Monkeys|Objeto|Spider Monkeys|||
Statistical Practices|Objeto|Institutionalization Processes of Statistical Practice|||
Studies of Scientists|Objeto|Studies and Biographies of Scientists|||
Studies of technicians|Objeto|Studies of technicians|||
Tourism|Objeto|Tourism Promotion and Advertising|||
Trajectories of Science|Objeto|Development and Trajectories of Science and Technology|||
Collective processing of information|Tema|Collective processing of information|||
Complex social systems|Tema|Complex social systems|||
Computational thinking|Tema|Computational Thinking|||
Concept networks|Tema|Concept networks|||
CT indicators|Tema|CT indicators|||
Enviromental and climate change|Tema|Enviromental and Climate change|||
Gender studies|Tema|Gender studies|||
Genealogy of Academic Entities|Tema|Genealogy of Academic Entities and Spaces|||
General theory of social systems|Tema|General theory of social systems|||
Geographies of science|Tema|Geographies of Science|||
History of knowledge circulation|Tema|History of Knowledge Circulation|||
History of probability|Tema|History of Probability|||
History of statistics|Tema|History of Statistics|||
Institutionalization of statistics|Tema|Institutionalization of Statistics|||
Maps of science|Tema|Maps of science|||
Quantitative History|Tema|Quantitative History|||
Reproduction of Academic Spaces|Tema|Reproduction of Academic Spaces|||
Resilience|Tema|Resilience|||
Social Behavior|Tema|Social Behavior|||
Social categories and classifications|Tema|Social Categories and Classifications|||
Social frontiers|Tema|Social frontiers|||
Socio-ecology|Tema|Socio-ecology|||
Sociology of professions|Tema|Sociology of Professions|||
Study of News|Tema|Study of News and Financial Markets|||
