Attribute|Class|Title|Formula|Explanation|Reference
Agent-Based Model Analysis|Metodo|Agent-Based Model Analysis|||
Archival Analysis|Metodo|Archival Analysis|||
Bibliometrics and Scientometrics|Metodo|Bibliometrics and Scientometrics|||
Bioinformatics Tools|Metodo|Bioinformatics Tools|||
Cluster Analysis|Metodo|Cluster Analysis, k-Means Clustering|||
Computational Qualitative Analysis|Metodo|Computational Qualitative Analysis|||
Correspondence Analysis|Metodo|Correspondence Analysis|||
Digital Source Mining|Metodo|Digital Source Mining|||
Direct Observation of Behavior|Metodo|Direct Observation of Behavior|||
Document Analysis|Metodo|Document Analysis|||
Ethnography|Metodo|Ethnography|||
Formal Concept Analysis|Metodo|Formal Concept Analysis|||
Genetic Analysis|Metodo|Genetic Analysis|||
Inductive Game Theory|Metodo|Inductive Game Theory|||
Interviews|Metodo|Interviews|||
Linear Regression|Metodo|Linear and Logistic Regression, Event Analysis|||
Literature Review|Metodo|Literature Review|||
Machine Learning|Metodo|Machine Learning and Fundamental Analysis|||
Multiplex Network Analysis|Metodo|Monoplex, Multiplex, or Multilayer Network Analysis|||
Network Visualization|Metodo|Network Analysis and Visualization|||
Pattern Recognition|Metodo|Pattern Recognition for Distant Reading|||
Reconstruction of Genealogies and Trajectories|Metodo|Reconstruction of Genealogies and Trajectories|||
Sentiment Analysis|Metodo|Sentiment Analysis|||
Social Networks Analysis|Metodo|Study and Analysis of Social Networks|||
Software Engineering|Metodo|Software Engineering|||
Surveys|Metodo|Surveys|||
Technical Analysis|Metodo|Technical Analysis|||
Topic Modeling Analysis|Metodo|Topic Modeling Analysis|||
