Attribute|Class|Title|Formula|Explanation|Reference
Academic entities|Objeto|Academic Entities, Spaces, and Networks|||
Agri-food networks|Objeto|Agri-food Networks|||
Artificial intelligence|Objeto|Artificial Intelligence|||
Cetaceans|Objeto|Cetaceans|||
Climate Change|Objeto|Climate Change|||
Collective Tasks|Objeto|Groups of People Working on Collective Tasks|||
COVID 19|Objeto|COVID-19|||
Digital News|Objeto|Digital News and Journalism|||
Digital Technologies|Objeto|Digital Technologies|||
Economic System|Objeto|Economic System and Financial Markets|||
Human Vocal Interactions|Objeto|Human Vocal Interactions|||
Information Sources|Objeto|Comparison of Documents and Information Sources|||
Nanotechnology|Objeto|Nanotechnology|||
Physical Theories|Objeto|Astronomy, Cosmology, and Gravitation Theories|||
Social Measurement|Objeto|Categories and Classifications of Social Measurement|||
Socio-ecosystems in Yucatan|Objeto|Socio-ecosystems in Yucatan|||
Spider Monkeys|Objeto|Spider Monkeys|||
Statistical Practices|Objeto|Institutionalization Processes of Statistical Practice|||
Studies of Scientists|Objeto|Studies and Biographies of Scientists|||
Studies of technicians|Objeto|Studies of technicians|||
Tourism|Objeto|Tourism Promotion and Advertising|||
Trajectories of Science|Objeto|Development and Trajectories of Science and Technology|||
