Attribute|Class|Title|Formula|Explanation|Reference
Social studies of CTS|Campo|Social studies of CTS|||
Socio History|Campo|Socio-history|||
Academic networks|Linea|Academic networks|||
Mathematical modeling|Linea|Mathematical modeling and knowledge representation|||
Social complexity|Linea|Social Complexity|||
Socio-history of quantification|Linea|Socio-history of quantification|||
University s sociocultural history|Linea|University’s sociocultural history|||
Collective processing of information|Tema|Collective processing of information|||
Complex social systems|Tema|Complex social systems|||
Computational thinking|Tema|Computational Thinking|||
Concept networks|Tema|Concept networks|||
CT indicators|Tema|CT indicators|||
Enviromental and climate change|Tema|Enviromental and Climate change|||
Gender studies|Tema|Gender studies|||
Genealogy of Academic Entities|Tema|Genealogy of Academic Entities and Spaces|||
General theory of social systems|Tema|General theory of social systems|||
Geographies of science|Tema|Geographies of Science|||
History of knowledge circulation|Tema|History of Knowledge Circulation|||
History of probability|Tema|History of Probability|||
History of statistics|Tema|History of Statistics|||
Institutionalization of statistics|Tema|Institutionalization of Statistics|||
Maps of science|Tema|Maps of science|||
Quantitative History|Tema|Quantitative History|||
Reproduction of Academic Spaces|Tema|Reproduction of Academic Spaces|||
Resilience|Tema|Resilience|||
Social Behavior|Tema|Social Behavior|||
Social categories and classifications|Tema|Social Categories and Classifications|||
Social frontiers|Tema|Social frontiers|||
Socio-ecology|Tema|Socio-ecology|||
Sociology of professions|Tema|Sociology of Professions|||
Study of News|Tema|Study of News and Financial Markets|||
