Attribute|Class|Title|Formula|Explanation|Reference
Estudios CTS|Campo|Estudios Sociales y Filosóficos de la Ciencia y la Tecnología|||
Socio-historia|Campo|Socio-historia|||
Complejidad social|Linea|Complejidad social|||
Historia sociocultural universitaria|Linea|Historia sociocultural universitaria|||
Modelizacion Matematica|Linea|Modelización matemática y representacción del conocimiento científico|||
Redes academicas|Linea|Redes académicas|||
Socio historia de la cuantificacion|Linea|Socio-historia de la cuantificación|||
Analisis Cualitativo Computacional|Metodo|Análisis Cualitativo Computacional|||
Analisis de Archivo|Metodo|Análisis de Archivo|||
Analisis de conceptos formales|Metodo|Análisis de Conceptos Formales|||
Analisis de Conglomerados|Metodo|Análisis de Conglomerados, Clusterización con k-medias|||
Analisis de Correspondencia|Metodo|Análisis de Correspondencia|||
Analisis de modelos basados en agentes|Metodo|Análisis de modelos basados en agentes|||
Analisis de Modelos tematicos|Metodo|Análisis de Modelos temáticos|||
Analisis de redes sociales|Metodo|Estudio y Análisis de redes sociales|||
Analisis de sentimientos|Metodo|Análisis de sentimientos|||
Analisis documental|Metodo|Análisis Documental|||
Analisis genetico|Metodo|Análisis Genético|||
Analisis multiplex|Metodo|Análisis Monoplex, multiplex o multicapa|||
Analisis Tecnico|Metodo|Análisis Técnico|||
Aprendizaje de maquina|Metodo|Aprendizaje de máquina y análisis fundamental|||
Bibliometria y cienciometria|Metodo|Bibliometría y cienciometría|||
Encuestas|Metodo|Encuestas|||
Entrevistas|Metodo|Entrevistas|||
Etnografia|Metodo|Etnografía|||
Herramientas bioinformaticas|Metodo|Herramientas bioinformáticas|||
Ingenieria de software|Metodo|Ingeniería de Software|||
Mineria de Fuentes Digitales|Metodo|Minería de Fuentes Digitales|||
Observacion directa|Metodo|Observación directa del comportamiento|||
Reconocimiento de patrones|Metodo|Reconocimiento de patrones para lectura distante|||
Reconstrucccion de genealogias y trayectorias|Metodo|Reconstruccción de genealogías y trayectorias|||
Regresiones lineales|Metodo|Regresiones lineales, logísticas y análisis de eventos|||
Revision bibliografica|Metodo|Revisión Bibliográfica|||
Teoria de juegos inductiva|Metodo|Teoría de juegos inductiva|||
Visualizacion de redes|Metodo|Análisis y Visualización de redes|||
Cambio climatico|Objeto|Cambio climático|||
Cetaceos|Objeto|Cetáceos|||
Cotejos de Documentos|Objeto|Cotejos de Documentos y fuentes de información|||
COVID 19|Objeto|COVID 19|||
Entidades Academicas|Objeto|Entidades, Espacios y Redes Académicas|||
Estudios sobre cientificos|Objeto|Estudios y biografías sobre científicos|||
Estudios sobre tecnologos|Objeto|Estudios sobre tecnólogos|||
Inteligencia artificial|Objeto|Inteligencia artificial|||
Interacciones vocales humanas|Objeto|Interacciones vocales humanas|||
Medicion social|Objeto|Las categorías y clasificaciones de medición social|||
Monos araña|Objeto|Monos araña|||
Nano tecnologia|Objeto|Nano-tecnología|||
Noticias digitales|Objeto|Noticias digitales, periodismo|||
Practicas estadísticas|Objeto|Procesos de institucionalización de la práctica de la estadística|||
Redes agroalimentarias|Objeto|Redes agroalimentarias|||
Sistema Economico|Objeto|Sistema Económico y Mercados Financieros|||
Sistemas socio cientificos|Objeto|Sistemas socio-técnicos y socio-científicos|||
Socio ecosistemas en Yucatan|Objeto|Socio-ecosistemas en Yucatán|||
Tareas colectivas|Objeto|Grupos de personas trabajando en tareas colectivas|||
Tecnologias digitales|Objeto|Tecnologías digitales|||
Teorias fisicas|Objeto|Astronomía, Cosmología y Gravitación|||
Trayectorias en CyT|Objeto|Desarrollo y trayectorias de C y T|||
Turismo|Objeto|La promoción y publicidad turística|||
Cambio ambiental y climatico|Tema|Cambio ambiental y climático|||
Categorias y Clasificaciones sociales|Tema|Categorías y Clasificaciones sociales|||
Conducta social|Tema|Conducta social|||
Estudio de Noticias y Mercados Financieros|Tema|Estudio de Noticias y Mercados Financieros|||
Estudios de Genero|Tema|Estudios de Género|||
Fronteras sociales|Tema|Fronteras sociales|||
Genealogia de las entidades y los espacios academicos|Tema| Genealogía de las entidades y los espacios académicos|||
Geografias de la ciencia|Tema|Geografías de la ciencia|||
Historia cuantitativa|Tema|Historia cuantitativa|||
Historia de la circulacion del conocimiento|Tema|Historia de la circulación del conocimiento|||
Historia de la Estadistica|Tema|Historia de la Estadística|||
Historia de la probabilidad|Tema|Historia de la probabilidad|||
Indicadores de CyT|Tema|Indicadores de CyT|||
Institucionalizacion de la estadistica|Tema|Institucionalización de la estadística|||
Mapas de la ciencia|Tema|Mapas de la ciencia|||
Pensamiento Computacional|Tema|Pensamiento Computacional|||
Procesamiento colectivo de informacion|Tema|Procesamiento colectivo de información|||
Redes conceptuales|Tema|Redes conceptuales||Epistemología estructural del conocimiento|
Reproduccion de espacios academicos|Tema|Reproducción de espacios académicos|||
Resilencia|Tema|Resilencia|||
Sistemas Sociales Complejos y Dinamicas Sociales|Tema|Sistemas Sociales Complejos y Dinámicas Sociales|||
Socioecologia|Tema|Socioecología|||
Sociologia de las profesiones|Tema|Sociología de las profesiones|||
Teoria general de Sistemas Sociales|Tema|Teoría general de Sistemas Sociales|||
