Attribute|Class|Title|Formula|Explanation|Reference
Analisis Cualitativo Computacional|Metodo|Análisis Cualitativo Computacional|||
Analisis de Archivo|Metodo|Análisis de Archivo|||
Analisis de conceptos formales|Metodo|Análisis de Conceptos Formales|||
Analisis de Conglomerados|Metodo|Análisis de Conglomerados, Clusterización con k-medias|||
Analisis de Correspondencia|Metodo|Análisis de Correspondencia|||
Analisis de modelos basados en agentes|Metodo|Análisis de modelos basados en agentes|||
Analisis de Modelos tematicos|Metodo|Análisis de Modelos temáticos|||
Analisis de redes sociales|Metodo|Estudio y Análisis de redes sociales|||
Analisis de sentimientos|Metodo|Análisis de sentimientos|||
Analisis documental|Metodo|Análisis Documental|||
Analisis genetico|Metodo|Análisis Genético|||
Analisis multiplex|Metodo|Análisis Monoplex, multiplex o multicapa|||
Analisis Tecnico|Metodo|Análisis Técnico|||
Aprendizaje de maquina|Metodo|Aprendizaje de máquina y análisis fundamental|||
Bibliometria y cienciometria|Metodo|Bibliometría y cienciometría|||
Encuestas|Metodo|Encuestas|||
Entrevistas|Metodo|Entrevistas|||
Etnografia|Metodo|Etnografía|||
Herramientas bioinformaticas|Metodo|Herramientas bioinformáticas|||
Ingenieria de software|Metodo|Ingeniería de Software|||
Mineria de Fuentes Digitales|Metodo|Minería de Fuentes Digitales|||
Observacion directa|Metodo|Observación directa del comportamiento|||
Reconocimiento de patrones|Metodo|Reconocimiento de patrones para lectura distante|||
Reconstrucccion de genealogias y trayectorias|Metodo|Reconstruccción de genealogías y trayectorias|||
Regresiones lineales|Metodo|Regresiones lineales, logísticas y análisis de eventos|||
Revision bibliografica|Metodo|Revisión Bibliográfica|||
Teoria de juegos inductiva|Metodo|Teoría de juegos inductiva|||
Visualizacion de redes|Metodo|Análisis y Visualización de redes|||
