Attribute|Class|Title|Formula|Explanation|Reference
Cambio climatico|Objeto|Cambio climático|||
Cetaceos|Objeto|Cetáceos|||
Cotejos de Documentos|Objeto|Cotejos de Documentos y fuentes de información|||
COVID 19|Objeto|COVID 19|||
Entidades Academicas|Objeto|Entidades, Espacios y Redes Académicas|||
Estudios sobre cientificos|Objeto|Estudios y biografías sobre científicos|||
Estudios sobre tecnologos|Objeto|Estudios sobre tecnólogos|||
Inteligencia artificial|Objeto|Inteligencia artificial|||
Interacciones vocales humanas|Objeto|Interacciones vocales humanas|||
Medicion social|Objeto|Las categorías y clasificaciones de medición social|||
Monos araña|Objeto|Monos araña|||
Nano tecnologia|Objeto|Nano-tecnología|||
Noticias digitales|Objeto|Noticias digitales, periodismo|||
Practicas estadísticas|Objeto|Procesos de institucionalización de la práctica de la estadística|||
Redes agroalimentarias|Objeto|Redes agroalimentarias|||
Sistema Economico|Objeto|Sistema Económico y Mercados Financieros|||
Socio ecosistemas en Yucatan|Objeto|Socio-ecosistemas en Yucatán|||
Tareas colectivas|Objeto|Grupos de personas trabajando en tareas colectivas|||
Tecnologias digitales|Objeto|Tecnologías digitales|||
Teorias fisicas|Objeto|Astronomía, Cosmología y Gravitación|||
Trayectorias en CyT|Objeto|Desarrollo y trayectorias de C y T|||
Turismo|Objeto|La promoción y publicidad turística|||
