Attribute|Class|Title|Formula|Explanation|Reference
Estudios CTS|Campo|Estudios Sociales y Filosóficos de la Ciencia y la Tecnología|||
Socio-historia|Campo|Socio-historia|||
Complejidad social|Linea|Complejidad social|||
Historia sociocultural universitaria|Linea|Historia sociocultural universitaria|||
Modelizacion Matematica|Linea|Modelización matemática y representacción del conocimiento científico|||
Redes academicas|Linea|Redes académicas|||
Socio historia de la cuantificacion|Linea|Socio-historia de la cuantificación|||
Cambio ambiental y climatico|Tema|Cambio ambiental y climático|||
Categorias y Clasificaciones sociales|Tema|Categorías y Clasificaciones sociales|||
Conducta social|Tema|Conducta social|||
Estudio de Noticias y Mercados Financieros|Tema|Estudio de Noticias y Mercados Financieros|||
Estudios de Genero|Tema|Estudios de Género|||
Fronteras sociales|Tema|Fronteras sociales|||
Genealogia de las entidades y los espacios academicos|Tema| Genealogía de las entidades y los espacios académicos|||
Geografias de la ciencia|Tema|Geografías de la ciencia|||
Historia cuantitativa|Tema|Historia cuantitativa|||
Historia de la circulacion del conocimiento|Tema|Historia de la circulación del conocimiento|||
Historia de la Estadistica|Tema|Historia de la Estadística|||
Historia de la probabilidad|Tema|Historia de la probabilidad|||
Indicadores de CyT|Tema|Indicadores de CyT|||
Institucionalizacion de la estadistica|Tema|Institucionalización de la estadística|||
Mapas de la ciencia|Tema|Mapas de la ciencia|||
Pensamiento Computacional|Tema|Pensamiento Computacional|||
Procesamiento colectivo de informacion|Tema|Procesamiento colectivo de información|||
Redes conceptuales|Tema|Redes conceptuales||Epistemología estructural del conocimiento|
Reproduccion de espacios academicos|Tema|Reproducción de espacios académicos|||
Resilencia|Tema|Resilencia|||
Sistemas Sociales Complejos y Dinamicas Sociales|Tema|Sistemas Sociales Complejos y Dinámicas Sociales|||
Socioecologia|Tema|Socioecología|||
Sociologia de las profesiones|Tema|Sociología de las profesiones|||
Teoria general de Sistemas Sociales|Tema|Teoría general de Sistemas Sociales|||
